(-10.000000, -0.000000)
(-9.797980, 0.000000)
(-9.595960, 0.000000)
(-9.393939, 0.000000)
(-9.191919, 0.000000)
(-8.989899, 0.000000)
(-8.787879, 0.000000)
(-8.585859, 0.000000)
(-8.383838, 0.000000)
(-8.181818, 0.000000)
(-7.979798, 0.000000)
(-7.777778, 0.000000)
(-7.575758, 0.000000)
(-7.373737, 0.000000)
(-7.171717, 0.000000)
(-6.969697, 0.000000)
(-6.767677, 0.000000)
(-6.565657, 0.000000)
(-6.363636, 0.000000)
(-6.161616, 0.000000)
(-5.959596, 0.000000)
(-5.757576, 0.000000)
(-5.555556, 0.000000)
(-5.353535, 0.000000)
(-5.151515, 0.000000)
(-4.949495, 0.000000)
(-4.747475, 0.000000)
(-4.545455, 0.000000)
(-4.343434, 0.000000)
(-4.141414, 0.000001)
(-3.939394, 0.000003)
(-3.737374, 0.000014)
(-3.535354, 0.000056)
(-3.333333, 0.000199)
(-3.131313, 0.000656)
(-2.929293, 0.001984)
(-2.727273, 0.005504)
(-2.525253, 0.013998)
(-2.323232, 0.032600)
(-2.121212, 0.069428)
(-1.919192, 0.134981)
(-1.717172, 0.239004)
(-1.515152, 0.384134)
(-1.313131, 0.557692)
(-1.111111, 0.725874)
(-0.909091, 0.836352)
(-0.707071, 0.833065)
(-0.505051, 0.680155)
(-0.303030, 0.384052)
(-0.101010, -0.000000)
(0.101010, -0.384052)
(0.303030, -0.680155)
(0.505051, -0.833065)
(0.707071, -0.836352)
(0.909091, -0.725874)
(1.111111, -0.557692)
(1.313131, -0.384134)
(1.515152, -0.239004)
(1.717172, -0.134981)
(1.919192, -0.069428)
(2.121212, -0.032600)
(2.323232, -0.013998)
(2.525253, -0.005504)
(2.727273, -0.001984)
(2.929293, -0.000656)
(3.131313, -0.000199)
(3.333333, -0.000056)
(3.535354, -0.000014)
(3.737374, -0.000003)
(3.939394, -0.000001)
(4.141414, -0.000000)
(4.343434, -0.000000)
(4.545455, -0.000000)
(4.747475, -0.000000)
(4.949495, -0.000000)
(5.151515, -0.000000)
(5.353535, -0.000000)
(5.555556, -0.000000)
(5.757576, -0.000000)
(5.959596, -0.000000)
(6.161616, -0.000000)
(6.363636, -0.000000)
(6.565657, -0.000000)
(6.767677, -0.000000)
(6.969697, -0.000000)
(7.171717, -0.000000)
(7.373737, -0.000000)
(7.575758, -0.000000)
(7.777778, -0.000000)
(7.979798, -0.000000)
(8.181818, -0.000000)
(8.383838, -0.000000)
(8.585859, -0.000000)
(8.787879, -0.000000)
(8.989899, -0.000000)
(9.191919, -0.000000)
(9.393939, -0.000000)
(9.595960, -0.000000)
(9.797980, -0.000000)
(10.000000, 0.000000)
