(10.000000, 0.000000)
(9.591837, 0.000000)
(9.183673, 0.000000)
(8.775510, 0.000000)
(8.367347, 0.000000)
(7.959184, 0.000000)
(7.551020, 0.000000)
(7.142857, 0.000000)
(6.734694, 0.000000)
(6.326531, 0.000000)
(5.918367, 0.000000)
(5.510204, 0.000000)
(5.102041, 0.000000)
(4.693878, 0.000000)
(4.285714, 0.000000)
(3.877551, 0.000000)
(3.469388, 0.000006)
(3.061224, 0.000085)
(2.653061, 0.000877)
(2.244898, 0.006477)
(1.836735, 0.034266)
(1.428571, 0.129923)
(1.020408, 0.353019)
(0.612245, 0.687397)
(0.204082, 0.959206)
(-0.204082, 0.959206)
(-0.612245, 0.687397)
(-1.020408, 0.353019)
(-1.428571, 0.129923)
(-1.836735, 0.034266)
(-2.244898, 0.006477)
(-2.653061, 0.000877)
(-3.061224, 0.000085)
(-3.469388, 0.000006)
(-3.877551, 0.000000)
(-4.285714, 0.000000)
(-4.693878, 0.000000)
(-5.102041, 0.000000)
(-5.510204, 0.000000)
(-5.918367, 0.000000)
(-6.326531, 0.000000)
(-6.734694, 0.000000)
(-7.142857, 0.000000)
(-7.551020, 0.000000)
(-7.959184, 0.000000)
(-8.367347, 0.000000)
(-8.775510, 0.000000)
(-9.183673, 0.000000)
(-9.591837, 0.000000)
(-10.000000, 0.000000)
