(-9.183673, -0.000000)
(-8.775510, -0.000000)
(-8.367347, -0.000000)
(-7.959184, -0.000000)
(-7.551020, -0.000000)
(-7.142857, -0.000000)
(-6.734694, -0.000000)
(-6.326531, -0.000000)
(-5.918367, -0.000000)
(-5.510204, -0.000000)
(-5.102041, -0.000000)
(-4.693878, -0.000000)
(-4.285714, -0.000001)
(-3.877551, -0.000008)
(-3.469388, -0.000041)
(-3.061224, 0.000101)
(-2.653061, 0.003444)
(-2.244898, 0.028027)
(-1.836735, 0.129733)
(-1.428571, 0.381609)
(-1.020408, 0.721699)
(-0.612245, 0.820793)
(-0.204082, 0.375687)
(0.204082, -0.375687)
(0.612245, -0.820793)
(1.020408, -0.721699)
(1.428571, -0.381609)
(1.836735, -0.129733)
(2.244898, -0.028027)
(2.653061, -0.003444)
(3.061224, -0.000101)
(3.469388, 0.000041)
(3.877551, 0.000008)
(4.285714, 0.000001)
(4.693878, 0.000000)
(5.102041, 0.000000)
(5.510204, 0.000000)
(5.918367, 0.000000)
(6.326531, 0.000000)
(6.734694, 0.000000)
(7.142857, 0.000000)
(7.551020, 0.000000)
(7.959184, 0.000000)
(8.367347, 0.000000)
(8.775510, 0.000000)
(9.183673, 0.000000)
